ITEMS|SECTION|TYPE|Generic|Generic Alt|ASUS Transformers|Acer Iconia|Samsung Galaxy S3 Full|Samsung Galaxy S3|{null}
DEFAULT_AGPS_ENABLE|daemon|bool|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|{null}
DEFAULT_USER_PLANE|daemon|bool|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|{null}
DEFAULT_SSL_ENABLE|daemon|bool|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|{null}
INTERMEDIATE_POS|thres|integer|1|0|1|1|1|1|{null}
ACCURACY_THRES|thres|integer|3000|3000|3500|3000|3000|3000|{null}
QOS_ACCURACY|qos|integer|50|50|50|50|{null}|{null}|{null}
QOS_TIME_OUT_AGPS|qos|integer|95|95|95|95|{null}|{null}|{null}
QOS_TIME_OUT_STANDALONE|qos|integer|80|80|80|80|{null}|{null}|{null}
QosHorizontalThreshold|qos|integer|1000|1000|1000|1000|{null}|{null}|{null}
QosVerticalThreshold|qos|integer|500|500|500|500|{null}|{null}|{null}
AssistMethodType|assist|integer|1|1|1|1|1|1|{null}
AgpsUse|assist|integer|1|1|1|1|1|1|{null}
AgpsServerType|assist|integer|1|1|1|1|1|1|{null}
AgpsServerIp|assist|integer|3232235555|3232235555|3232235555|3232235555|3232235555|3232235555|{null}
AgpsMtConf|assist|integer|0|0|0|0|0|0|{null}
AgpsMtResponseType|assist|integer|1|1|1|1|1|1|{null}
CURRENT_CARRIER|carrier|text|common|common|common|common|{null}|{null}|{null}
PHONE_TYPE|carrier|text|UMTS|UMTS|UMTS|UMTS|{null}|{null}|{null}
DEBUG_LEVEL|s3_specific|integer|{null}|{null}|{null}|{null}|4|4|{null}
SUPL_VER|s3_specific|text|{null}|{null}|{null}|{null}|0x10000|0x10000|{null}
ERR_ESTIMATE|s3_specific|integer|{null}|{null}|{null}|{null}|0|0|{null}
CAPABILITIES|s3_specific|text|{null}|{null}|{null}|{null}|0x16|0x16|{null}
GYRO_BIAS_RANDOM_WALK|s3_specific|integer|{null}|{null}|{null}|{null}|0,00001|0,00001|{null}
SENSOR_ACCEL_BATCHES_PER_SEC|s3_specific|integer|{null}|{null}|{null}|{null}|3|3|{null}
SENSOR_ACCEL_SAMPLES_PER_BATCH|s3_specific|integer|{null}|{null}|{null}|{null}|5|5|{null}
SENSOR_GYRO_BATCHES_PER_SEC|s3_specific|integer|{null}|{null}|{null}|{null}|3|3|{null}
SENSOR_GYRO_SAMPLES_PER_BATCH|s3_specific|integer|{null}|{null}|{null}|{null}|5|5|{null}
SENSOR_ACCEL_BATCHES_PER_SEC_HIGH|s3_specific|integer|{null}|{null}|{null}|{null}|4|{null}|{null}
SENSOR_ACCEL_SAMPLES_PER_BATCH_HIGH|s3_specific|integer|{null}|{null}|{null}|{null}|25|{null}|{null}
SENSOR_GYRO_BATCHES_PER_SEC_HIGH|s3_specific|integer|{null}|{null}|{null}|{null}|4|{null}|{null}
SENSOR_GYRO_SAMPLES_PER_BATCH_HIGH|s3_specific|integer|{null}|{null}|{null}|{null}|25|{null}|{null}
SENSOR_CONTROL_MODE|s3_specific|integer|{null}|{null}|{null}|{null}|0|0|{null}
SENSOR_USAGE|s3_specific|integer|{null}|{null}|{null}|{null}|0|0|{null}
SENSOR_PROVIDER|s3_specific|integer|{null}|{null}|{null}|{null}|2|2|{null}
QUIPC_ENABLED|s3_specific|integer|{null}|{null}|{null}|{null}|0|0|{null}
ENABLE_WIPER|s3_specific|integer|{null}|{null}|{null}|{null}|0|{null}|{null}
LPP_PROFILE|s3_specific|integer|{null}|{null}|{null}|{null}|0|{null}|{null}
